Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Jessica,tvui,postPlay,,,2023-01-23 03:43:16
Jessica,tvui,playback,,,2023-01-23 03:43:16
Jessica,tvui,playback,,,2023-01-23 03:42:54
Jessica,tvui,postPlay,,,2023-01-23 03:42:54
Jessica,tvui,movieDetails,,,2023-01-23 02:52:21
Jessica,tvui,playback,,,2023-01-23 02:52:21
Jessica,tvui,browseTitles,,,2023-01-23 02:47:40
Jessica,tvui,movieDetails,,,2023-01-23 02:47:40
Jessica,tvui,browseTitlesGallery,,,2023-01-23 02:46:24
Jessica,tvui,browseTitles,,,2023-01-23 02:46:24
Jessica,tvui,search,,,2023-01-23 02:45:37
Jessica,tvui,browseTitlesGallery,,,2023-01-23 02:45:37
Jessica,tvui,browseTitles,,,2023-01-23 02:43:55
Jessica,tvui,search,,,2023-01-23 02:43:55
Jessica,tvui,playback,,,2023-01-22 17:19:02
Jessica,tvui,movieDetails,,,2023-01-22 17:19:02
Jessica,tvui,movieDetails,,,2023-01-22 17:18:37
Jessica,tvui,playback,,,2023-01-22 17:18:37
Jessica,tvui,browseTitles,,,2023-01-22 17:18:32
Jessica,tvui,movieDetails,,,2023-01-22 17:18:32
Jessica,tvui,movieDetails,,,2023-01-22 17:18:18
Jessica,tvui,browseTitles,,,2023-01-22 17:18:18
Jessica,tvui,playback,,,2023-01-22 17:18:13
Jessica,tvui,movieDetails,,,2023-01-22 17:18:13
Jessica,tvui,movieDetails,,,2023-01-22 16:27:48
Jessica,tvui,playback,,,2023-01-22 16:27:48
Jessica,tvui,browseTitles,,,2023-01-22 16:27:45
Jessica,tvui,movieDetails,,,2023-01-22 16:27:45
Jessica,tvui,movieDetails,,,2023-01-22 16:27:32
Jessica,tvui,browseTitles,,,2023-01-22 16:27:32
Jessica,tvui,playback,,,2023-01-22 16:27:26
Jessica,tvui,movieDetails,,,2023-01-22 16:27:26
Jessica,tvui,movieDetails,,,2023-01-22 16:27:01
Jessica,tvui,playback,,,2023-01-22 16:27:01
Jessica,tvui,browseTitles,,,2023-01-22 16:26:58
Jessica,tvui,movieDetails,,,2023-01-22 16:26:58
Jessica,tvui,movieDetails,,,2023-01-22 02:34:15
Jessica,tvui,browseTitles,,,2023-01-22 02:34:15
Jessica,tvui,postPlay,,,2023-01-22 02:34:13
Jessica,tvui,movieDetails,,,2023-01-22 02:34:13
Jessica,tvui,playback,,,2023-01-22 02:34:11
Jessica,tvui,postPlay,,,2023-01-22 02:34:11
Jessica,tvui,movieDetails,,,2023-01-22 01:48:45
Jessica,tvui,playback,,,2023-01-22 01:48:45
Jessica,tvui,playback,,,2023-01-22 01:48:40
Jessica,tvui,movieDetails,,,2023-01-22 01:48:40
Jessica,tvui,movieDetails,,,2023-01-22 00:57:39
Jessica,tvui,playback,,,2023-01-22 00:57:39
Jessica,tvui,postPlay,,,2023-01-22 00:57:18
Jessica,tvui,movieDetails,,,2023-01-22 00:57:18
Jessica,tvui,playback,,,2023-01-22 00:57:17
Jessica,tvui,postPlay,,,2023-01-22 00:57:17
Jessica,tvui,movieDetails,,,2023-01-22 00:52:00
Jessica,tvui,playback,,,2023-01-22 00:52:00
Jessica,tvui,browseTitles,,,2023-01-22 00:51:58
Jessica,tvui,movieDetails,,,2023-01-22 00:51:58
Jessica,tvui,searchSuggestionTitleResults,,,2023-01-22 00:51:48
Jessica,tvui,browseTitles,,,2023-01-22 00:51:48
Jessica,tvui,movieDetails,,,2023-01-22 00:51:40
Jessica,tvui,searchSuggestionTitleResults,,,2023-01-22 00:51:40
Jessica,tvui,playback,,,2023-01-22 00:51:35
Jessica,tvui,movieDetails,,,2023-01-22 00:51:35
Jessica,tvui,movieDetails,,,2023-01-21 22:09:22
Jessica,tvui,playback,,,2023-01-21 22:09:22
Jessica,tvui,searchSuggestionTitleResults,,,2023-01-21 22:09:17
Jessica,tvui,movieDetails,,,2023-01-21 22:09:17
Jessica,tvui,browseTitles,,,2023-01-21 22:08:48
Jessica,tvui,search,,,2023-01-21 22:08:48
Jessica,tvui,postPlay,,,2023-01-20 23:40:07
Jessica,tvui,playback,,,2023-01-20 23:40:07
Jessica,tvui,playback,,,2023-01-20 23:39:45
Jessica,tvui,postPlay,,,2023-01-20 23:39:45
Jessica,tvui,postPlay,,,2023-01-20 22:53:09
Jessica,tvui,playback,,,2023-01-20 22:53:09
Jessica,tvui,playback,,,2023-01-20 22:52:58
Jessica,tvui,postPlay,,,2023-01-20 22:52:58
Jessica,tvui,movieDetails,,,2023-01-20 21:55:46
Jessica,tvui,playback,,,2023-01-20 21:55:46
Jessica,tvui,search,,,2023-01-20 21:55:31
Jessica,tvui,movieDetails,,,2023-01-20 21:55:31
