Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Jessica,Season 5 Moment of High Emotion Clip: The Crown,Edge OSS - Windows (Cadmium),2023-01-25 00:56:18,BR,"[{""eventType"":""start"",""sessionOffsetMs"":18,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1025,""mediaOffsetMs"":0}]"
Jessica,Season 2 Sensory Clip: Bake Squad,Edge OSS - Windows (Cadmium),2023-01-25 00:42:21,BR,"[{""eventType"":""start"",""sessionOffsetMs"":71,""mediaOffsetMs"":20},{""eventType"":""playing"",""sessionOffsetMs"":1301,""mediaOffsetMs"":20},{""eventType"":""paused"",""sessionOffsetMs"":2623,""mediaOffsetMs"":1270},{""eventType"":""playing"",""sessionOffsetMs"":2633,""mediaOffsetMs"":1319},{""eventType"":""paused"",""sessionOffsetMs"":3616,""mediaOffsetMs"":2106},{""eventType"":""playing"",""sessionOffsetMs"":249030,""mediaOffsetMs"":2300},{""eventType"":""paused"",""sessionOffsetMs"":251943,""mediaOffsetMs"":4266},{""eventType"":""playing"",""sessionOffsetMs"":268827,""mediaOffsetMs"":4270},{""eventType"":""paused"",""sessionOffsetMs"":270274,""mediaOffsetMs"":5451}]"
Jessica,To the Lake: Season 1_hook_primary_16x9,Edge OSS - Windows (Cadmium),2023-01-25 00:41:53,BR,"[{""eventType"":""start"",""sessionOffsetMs"":21,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":698,""mediaOffsetMs"":0}]"
Jessica,Season 5 Moment of High Emotion Clip: The Crown,Edge OSS - Windows (Cadmium),2023-01-25 00:41:53,BR,"[{""eventType"":""start"",""sessionOffsetMs"":6,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":902,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":2085,""mediaOffsetMs"":1113}]"
Jessica,Season 4 Supporting Character Clip 2: Virgin River,Edge OSS - Windows (Cadmium),2023-01-25 00:41:49,BR,"[{""eventType"":""start"",""sessionOffsetMs"":16,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1209,""mediaOffsetMs"":0}]"
Jessica,Season 1 Trailer: Shanty Town,Edge OSS - Windows (Cadmium),2023-01-25 00:41:44,BR,"[{""eventType"":""start"",""sessionOffsetMs"":68,""mediaOffsetMs"":14},{""eventType"":""playing"",""sessionOffsetMs"":1140,""mediaOffsetMs"":14},{""eventType"":""paused"",""sessionOffsetMs"":2288,""mediaOffsetMs"":1138}]"
Jessica,Season 2 Sensory Clip: Bake Squad,Edge OSS - Windows (Cadmium),2023-01-25 00:41:44,BR,"[{""eventType"":""start"",""sessionOffsetMs"":29,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":756,""mediaOffsetMs"":0}]"
Jessica,Wild Child,Samsung Novatek DTV Smart TV,2023-01-25 00:13:41,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0}]"
Jessica,Wild Child,Samsung Novatek DTV Smart TV,2023-01-24 23:21:36,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":6691,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":10734,""mediaOffsetMs"":4000},{""eventType"":""playing"",""sessionOffsetMs"":14742,""mediaOffsetMs"":8000},{""eventType"":""playing"",""sessionOffsetMs"":16756,""mediaOffsetMs"":10000},{""eventType"":""playing"",""sessionOffsetMs"":34576,""mediaOffsetMs"":28000},{""eventType"":""playing"",""sessionOffsetMs"":2321107,""mediaOffsetMs"":2290000},{""eventType"":""playing"",""sessionOffsetMs"":2324639,""mediaOffsetMs"":2294000},{""eventType"":""playing"",""sessionOffsetMs"":2332760,""mediaOffsetMs"":2302000},{""eventType"":""playing"",""sessionOffsetMs"":2334773,""mediaOffsetMs"":2304000},{""eventType"":""playing"",""sessionOffsetMs"":2336784,""mediaOffsetMs"":2306000},{""eventType"":""playing"",""sessionOffsetMs"":2346410,""mediaOffsetMs"":2316000},{""eventType"":""playing"",""sessionOffsetMs"":2354534,""mediaOffsetMs"":2324000},{""eventType"":""playing"",""sessionOffsetMs"":2368681,""mediaOffsetMs"":2338000},{""eventType"":""playing"",""sessionOffsetMs"":2372705,""mediaOffsetMs"":2342000},{""eventType"":""playing"",""sessionOffsetMs"":2384969,""mediaOffsetMs"":2354000},{""eventType"":""playing"",""sessionOffsetMs"":2761005,""mediaOffsetMs"":2730000},{""eventType"":""playing"",""sessionOffsetMs"":2767166,""mediaOffsetMs"":2736000},{""eventType"":""playing"",""sessionOffsetMs"":2783337,""mediaOffsetMs"":2752000},{""eventType"":""playing"",""sessionOffsetMs"":2790944,""mediaOffsetMs"":2760000}]"
Jessica,Ride Along,Samsung Novatek DTV Smart TV,2023-01-24 00:35:19,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":5443,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":13597,""mediaOffsetMs"":8000},{""eventType"":""paused"",""sessionOffsetMs"":97551,""mediaOffsetMs"":92000},{""eventType"":""playing"",""sessionOffsetMs"":98909,""mediaOffsetMs"":92000},{""eventType"":""paused"",""sessionOffsetMs"":112060,""mediaOffsetMs"":104000},{""eventType"":""stopped"",""sessionOffsetMs"":178130,""mediaOffsetMs"":104000}]"
