Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Jessica,2023-01-25 00:42:21,00:00:05,Autoplayed: user action: None; ,Temporada 2 (Clipe): Esquadrão de Confeiteiros,HOOK,Edge OSS - Windows (Cadmium),00:00:05,00:00:05,BR (Brazil)
Jessica,2023-01-24 23:21:36,00:49:54,,Garota Mimada,,Samsung Novatek DTV Smart TV,00:49:54,00:49:54,BR (Brazil)
Jessica,2023-01-24 00:35:19,00:01:45,,Policial em Apuros,,Samsung Novatek DTV Smart TV,00:01:45,00:01:45,BR (Brazil)
Jessica,2023-01-24 00:31:17,00:00:25,,Between: Temporada 1: Último dia de aula (Episódio 1),,Samsung Novatek DTV Smart TV,00:00:25,00:00:25,BR (Brazil)
Jessica,2023-01-24 00:29:41,00:01:01,,That '90s Show: Temporada 1: Piloto (Episódio 1),,Samsung Novatek DTV Smart TV,00:01:00,00:01:00,BR (Brazil)
Jessica,2023-01-23 03:43:19,00:14:57,,Cidade dos Mortos: Temporada 1: Episódio 7 (Episódio 7),,Samsung Novatek DTV Smart TV,00:15:23,00:15:23,BR (Brazil)
Jessica,2023-01-23 02:52:27,00:50:22,,Cidade dos Mortos: Temporada 1: Episódio 6 (Episódio 6),,Samsung Novatek DTV Smart TV,00:50:22,00:50:22,BR (Brazil)
Jessica,2023-01-22 17:18:39,00:00:22,,Alerta Lobo,,Samsung Novatek DTV Smart TV,00:00:43,00:00:43,BR (Brazil)
Jessica,2023-01-22 16:27:52,00:46:16,,A Batalha Esquecida,,Samsung Novatek DTV Smart TV,02:00:46,02:00:46,BR (Brazil)
Jessica,2023-01-22 16:27:06,00:00:21,,Alerta Lobo,,Samsung Novatek DTV Smart TV,00:00:21,Not latest view,BR (Brazil)
Jessica,2023-01-22 01:48:48,00:45:21,,Cidade dos Mortos: Temporada 1: Episódio 5 (Episódio 5),,Samsung Novatek DTV Smart TV,00:45:21,00:45:21,BR (Brazil)
Jessica,2023-01-22 00:57:41,00:50:56,,Cidade dos Mortos: Temporada 1: Episódio 4 (Episódio 4),,Samsung Novatek DTV Smart TV,00:50:56,00:50:56,BR (Brazil)
Jessica,2023-01-22 00:52:05,00:05:06,,Cidade dos Mortos: Temporada 1: Episódio 3 (Episódio 3),,Samsung Novatek DTV Smart TV,00:54:28,00:54:28,BR (Brazil)
Jessica,2023-01-21 22:09:28,01:29:43,,A Batalha Esquecida,,Samsung Novatek DTV Smart TV,01:21:13,Not latest view,BR (Brazil)
