Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.202,Rio de Janeiro,2023-01-25T00:41:47.343Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.202,Rio de Janeiro,2023-01-24T23:21:36.038Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.202,Rio de Janeiro,2023-01-24T00:29:36.694Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.142,Rio de Janeiro,2023-01-23T02:52:27.722Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.142,Rio de Janeiro,2023-01-22T16:27:06.226Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.238,Rio de Janeiro,2023-01-21T22:09:28.980Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-F12105BD691BD889B861BC4B83030CCF1538891AAD06D444538EAD23EFA8B86B,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,89.187.179.56,New York,2023-01-20T21:54:27.246Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.238,Rio de Janeiro,2023-01-16T22:23:43.765Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.238,Rio de Janeiro,2023-01-13T16:46:11.102Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.146,Rio de Janeiro,2023-01-13T16:07:52.666Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.146,Rio de Janeiro,2023-01-13T01:13:06.504Z
