Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Jessica,2023-01-23 22:04:55,Inapp Originals Prepromote,NOTIFICATIONS,BR,pt-BR,,The Endless Night,GMAIL.COM,,,--,0
Jessica,2023-01-23 22:04:55,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,BR,pt-BR,pt-BR,The Endless Night,GMAIL.COM,,,--,0
Jessica,2023-01-21 17:39:49,EMAIL_NEW_ARRIVALS,EMAIL,BR,pt-BR,pt-BR,"I, Tonya",GMAIL.COM,,,--,0
Jessica,2023-01-21 17:39:48,Inapp New Arrivals,NOTIFICATIONS,BR,pt-BR,,"I, Tonya",GMAIL.COM,,,--,0
Jessica,2023-01-21 17:39:48,PUSH_NEW_ARRIVALS,PUSH,BR,pt-BR,pt-BR,"I, Tonya",GMAIL.COM,,,Xiaomi_M2101K7AG_chid_497730f0-ad4b-11e7-95a4-c7ad113ce187,0
Jessica,2023-01-17 16:54:20,PUSH_NEW_ARRIVALS,PUSH,BR,pt-BR,pt-BR,Dog Gone,GMAIL.COM,,,Xiaomi_M2101K7AG_chid_497730f0-ad4b-11e7-95a4-c7ad113ce187,0
Jessica,2023-01-17 11:40:24,EMAIL_NEW_ARRIVALS,EMAIL,BR,pt-BR,pt-BR,Dog Gone,GMAIL.COM,,,--,0
Jessica,2023-01-17 11:40:23,Inapp New Arrivals,NOTIFICATIONS,BR,pt-BR,,Dog Gone,GMAIL.COM,,,--,0
Jessica,2023-01-15 17:55:01,Edr Request Verification,EMAIL,BR,pt-BR,pt-BR,,GMAIL.COM,,2023-01-16 22:21:28,--,1
Jessica,2023-01-09 18:21:21,Multichannel Continue Watching,NOTIFICATIONS,BR,,,Emily in Paris,GMAIL.COM,,,--,0
Jessica,2023-01-09 17:56:23,Multichannel Continue Watching,PUSH,BR,pt-BR,pt-BR,Emily in Paris,GMAIL.COM,,,Xiaomi_M2101K7AG,0
Jessica,2023-01-09 15:09:28,Multichannel Continue Watching,EMAIL,BR,pt-BR,pt-BR,Emily in Paris,GMAIL.COM,,,--,0
Jessica,2023-01-06 18:06:25,PUSH_NEW_SEASON_ALERT,PUSH,BR,pt-BR,pt-BR,Ginny & Georgia,GMAIL.COM,,,Xiaomi_M2101K7AG,0
Jessica,2023-01-06 18:06:25,EMAIL_NEW_SEASON_ALERT,EMAIL,BR,pt-BR,pt-BR,Ginny & Georgia,GMAIL.COM,,,--,0
Jessica,2023-01-06 18:06:24,Inapp New Season Alert,NOTIFICATIONS,BR,pt-BR,,Ginny & Georgia,GMAIL.COM,,,--,0
Jessica,2023-01-05 18:28:04,Multichannel What To Watch,NOTIFICATIONS,BR,,,Ginny & Georgia,GMAIL.COM,,,--,0
Jessica,2023-01-05 18:28:03,Multichannel What To Watch,PUSH,BR,pt-BR,pt-BR,Ginny & Georgia,GMAIL.COM,,,Xiaomi_M2101K7AG,0
Jessica,2023-01-05 15:04:33,Multichannel What To Watch,EMAIL,BR,pt-BR,pt-BR,Ginny & Georgia,GMAIL.COM,,,--,0
Jessica,2023-01-03 20:32:48,PUSH_ORIGINALS_PREPROMOTE,PUSH,BR,pt-BR,pt-BR,Ginny & Georgia,GMAIL.COM,,,Xiaomi_M2101K7AG,0
Jessica,2023-01-03 20:32:34,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,BR,pt-BR,pt-BR,Ginny & Georgia,GMAIL.COM,,,--,0
Jessica,2023-01-03 20:32:33,Inapp Originals Prepromote,NOTIFICATIONS,BR,pt-BR,,Ginny & Georgia,GMAIL.COM,,,--,0
Jessica,2022-12-28 19:47:40,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,BR,pt-BR,pt-BR,White Noise,GMAIL.COM,,,--,0
Jessica,2022-12-28 19:47:40,PUSH_ORIGINALS_PREPROMOTE,PUSH,BR,pt-BR,pt-BR,White Noise,GMAIL.COM,,,Xiaomi_M2101K7AG,0
Jessica,2022-12-28 19:47:40,Inapp Originals Prepromote,NOTIFICATIONS,BR,pt-BR,,White Noise,GMAIL.COM,,,--,0
Jessica,2022-12-21 15:56:19,PUSH_NEW_SEASON_ALERT_REMIND_ME,PUSH,BR,pt-BR,pt-BR,Emily in Paris,GMAIL.COM,,,Xiaomi_M2101K7AG,0
Jessica,2022-12-21 10:13:03,Inapp New Season Alert Remind Me,NOTIFICATIONS,BR,pt-BR,,Emily in Paris,GMAIL.COM,,,Xiaomi_M2101K7AG_chid_497730f0-ad4b-11e7-95a4-c7ad113ce187,0
Jessica,2022-12-21 10:13:03,EMAIL_NEW_SEASON_ALERT_REMIND_ME,EMAIL,BR,pt-BR,pt-BR,Emily in Paris,GMAIL.COM,,,--,0
Jessica,2022-12-20 15:42:01,PUSH_ORIGINALS_PREPROMOTE,PUSH,BR,pt-BR,pt-BR,Emily in Paris,GMAIL.COM,,,Xiaomi_M2101K7AG,0
Jessica,2022-12-19 23:16:57,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,BR,pt-BR,pt-BR,Emily in Paris,GMAIL.COM,,,--,0
Jessica,2022-12-19 23:16:57,Inapp Originals Prepromote,NOTIFICATIONS,BR,pt-BR,,Emily in Paris,GMAIL.COM,,,--,0
Jessica,2022-12-16 15:53:12,PUSH_NEW_ARRIVALS_REMIND_ME,PUSH,BR,pt-BR,pt-BR,The Recruit,GMAIL.COM,,,Xiaomi_M2101K7AG,0
Jessica,2022-12-16 11:59:54,EMAIL_NEW_ARRIVALS_REMIND_ME,EMAIL,BR,pt-BR,pt-BR,The Recruit,GMAIL.COM,,,--,0
